vaccine_family	brand_or_name_patterns	platform_or_variant_pattern	dose_tier_pattern	preferred_match_strategy	conservative_fallback_when_no_exact	notes
AstraZeneca / Vaxzevria	"Vaxzevria; AstraZeneca; ChAdOx1-S"	non-replicating vector vaccine	volume-specific vial variants such as 4 ml and 5 ml	Prefer a named or concentration/volume-specific AstraZeneca concept when one is clearly available	Use the generic non-replicating vector vaccine injectable suspension concept as BROAD and add a volume-specific suggestion	Do not force EXACT from a platform-only vector concept when the source row distinguishes vial volume
Janssen / Jcovden	"Jcovden; Janssen; J&J; Ad26.COV2-S; Ad26"	Ad26 vector vaccine	single standard presentation	Use the Ad26-specific injectable suspension concept as EXACT	BROAD should rarely be needed if the product is clearly Jcovden/Janssen	Current mappings consistently support an Ad26-specific exact concept
Moderna original / Spikevax	"Spikevax; Moderna; mRNA-1273; COVID-19 vaccine Moderna mRNA"	original Moderna mRNA vaccine	concentration tiers such as 0.2 MG/ML or 0.1 MG/ML	Prefer the named Spikevax or mRNA-1273 concept that matches the source concentration and form	Use a generic mRNA-1273 or mRNA spike protein concept as BROAD with a product-specific suggestion if the exact tier is missing	Check whether the source row is original strain, variant-specific, or bivalent before reusing a concept
Moderna variant-specific names	"andusomeran; elasomeran; imelasomeran; davesomeran"	XBB.1.5, BA.1, BA.4/BA.5, LP.8.1, or other named variant/bivalent Moderna vaccines	pediatric/adult tier usually encoded by concentration rather than tablet-like strength	Prefer an exact named variant concept when search returns a clear Moderna variant match	Use the closest platform/strain concept as BROAD only when the named variant concept is not confirmed	Do not collapse all named Moderna variants to one concept; variant naming matters
Pfizer/BioNTech original / Comirnaty	"Comirnaty; Pfizer/BioNTech; BioNTech/Pfizer; tozinameran"	mRNA-BNT162b2 original strain	3, 10, and 30 microgram dose tiers often correspond to distinct concentration tiers	Map by dose tier and form: 30 ug adult, 10 ug pediatric, 3 ug infant	Use the closest concentration-specific Comirnaty concept as BROAD only if a stronger strain-specific exact concept is unavailable	Concentration-tier logic is reusable across Spain, EMA, Latvia, Sweden, and similar sources
Pfizer/BioNTech named variants	"raxtozinameran; cemivameran; bretovameran"	XBB.1.5, KP.2, JN.1, LP.8.1, or other named Pfizer variant vaccines	3, 10, and 30 microgram tiers	Prefer exact strain-specific concepts when the named variant exists in RxNorm or Extension	If the named variant is not available, fall back to the matching Comirnaty concentration tier and explain the limitation only when it is not obvious	Raxtozinameran and cemivameran now have strong exact concept support; JN.1 and LP.8.1 may still require conservative fallback by tier
Pfizer/BioNTech bivalent combinations	"famtozinameran/tozinameran; riltozinameran/tozinameran"	BA.4/BA.5 or BA.1 bivalent combinations	adult and pediatric tiers often correspond to 0.05 MG/ML and 0.015 MG/ML combination concepts	Prefer exact combination concepts that include both named ingredients when available	Use BROAD only if the combination-specific concept cannot be confirmed; include a suggestion naming both ingredients and the dose tier	Do not remap combination products to plain tozinameran unless no better combination concept exists
Novavax / Nuvaxovid	"Nuvaxovid; Novavax; NVX-CoV2373; NVX-CoV2601"	recombinant spike protein vaccine	original strain and variant-specific protein vaccine presentations	Prefer exact NVX-CoV2373 or strain-specific Novavax concepts when search confirms them	Use the generic recombinant spike protein vaccine concept as BROAD only when the named strain/product concept is unavailable	Novavax variant names are often more specific than generic protein-vaccine concepts
Hipra / Bimervax	"Bimervax; Hipra"	recombinant protein RBD vaccine	product-specific recombinant protein vaccine	single-dose intramuscular vaccine presentations	If a Hipra-specific exact concept is clearly present, use it	Otherwise use the generic recombinant spike protein injectable suspension concept as BROAD with a product-specific suggestion	Current data may still require conservative BROAD mappings
Sanofi / VidPrevtyn Beta	"VidPrevtyn Beta; Sanofi"	recombinant protein vaccine, often beta/delta-era naming	product-specific recombinant protein vaccine	single-dose intramuscular vaccine presentations	If a Sanofi-specific exact concept is clearly present, use it	Otherwise use the generic recombinant spike protein injectable suspension concept as BROAD with a product-specific suggestion	Current data may still require conservative BROAD mappings
Cross-dataset rule	"COVID-19; SARS-CoV-2 vaccine"	platform and strain names matter more than source dataset source-specific packaging details	concentration/dose-tier distinctions are often the reusable signal	Normalize by platform, named ingredient/variant, and dose tier before reusing a mapping across datasets	Prefer BROAD over an incorrect exact strain assignment when a source row is more specific than the available concept	Use the same reasoning for EMA, Spain, Latvia, Sweden, and future national sources
